title,family,n_observed_candidates,top_skills,jd_text
devops engineer,TECH,119,"docker, penetration testing, javascript, scrum, git","Position: Devops Engineer. We are seeking a Devops Engineer to join our team. Required skills: docker, penetration testing, javascript, scrum, git. Nice to have: blockchain, kubernetes, pytorch. The ideal candidate will have hands-on experience with docker, penetration testing, javascript and a strong background in Computer Science / Engineering. Responsibilities include applying docker, penetration testing, javascript to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in docker, penetration testing, javascript."
cloud engineer,TECH,118,"jenkins, network security, azure, python, graphql","Position: Cloud Engineer. We are seeking a Cloud Engineer to join our team. Required skills: jenkins, network security, azure, python, graphql. Nice to have: cybersecurity, scrum, javascript. The ideal candidate will have hands-on experience with jenkins, network security, azure and a strong background in Computer Science / Engineering. Responsibilities include applying jenkins, network security, azure to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in jenkins, network security, azure."
nurse,BUSINESS,117,"critical thinking, financial analysis, organizational skills, budgeting, quality assurance","Position: Nurse. We are seeking a Nurse to join our team. Required skills: critical thinking, financial analysis, organizational skills, budgeting, quality assurance. Nice to have: compliance, powerpoint, project management. The ideal candidate will have hands-on experience with critical thinking, financial analysis, organizational skills and a strong background in Services / Operations. Responsibilities include applying critical thinking, financial analysis, organizational skills to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in critical thinking, financial analysis, organizational skills."
product manager,BUSINESS,116,"rest apis, blockchain, ansible, microservices, penetration testing","Position: Product Manager. We are seeking a Product Manager to join our team. Required skills: rest apis, blockchain, ansible, microservices, penetration testing. Nice to have: deep learning, javascript, node. The ideal candidate will have hands-on experience with rest apis, blockchain, ansible and a strong background in Business / Management. Responsibilities include applying rest apis, blockchain, ansible to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in rest apis, blockchain, ansible."
cloud architect,BUSINESS,113,"node, agile, kubernetes, jenkins, cloud computing","Position: Cloud Architect. We are seeking a Cloud Architect to join our team. Required skills: node, agile, kubernetes, jenkins, cloud computing. Nice to have: scrum, git, tensorflow. The ideal candidate will have hands-on experience with node, agile, kubernetes and a strong background in Services / Operations. Responsibilities include applying node, agile, kubernetes to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in node, agile, kubernetes."
software engineer,BUSINESS,113,"solidity, penetration testing, kafka, react, natural language processing","Position: Software Engineer. We are seeking a Software Engineer to join our team. Required skills: solidity, penetration testing, kafka, react, natural language processing. Nice to have: sql, tensorflow, pytorch. The ideal candidate will have hands-on experience with solidity, penetration testing, kafka and a strong background in Services / Operations. Responsibilities include applying solidity, penetration testing, kafka to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in solidity, penetration testing, kafka."
mental health practitioner,BUSINESS,112,"marketing, strategic planning, communication, medical knowledge, excel","Position: Mental Health Practitioner. We are seeking a Mental Health Practitioner to join our team. Required skills: marketing, strategic planning, communication, medical knowledge, excel. Nice to have: customer service, patient care, project management. The ideal candidate will have hands-on experience with marketing, strategic planning, communication and a strong background in Services / Operations. Responsibilities include applying marketing, strategic planning, communication to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in marketing, strategic planning, communication."
site reliability engineer,TECH,105,"natural language processing, amazon web services, sql, jenkins, mongodb","Position: Site Reliability Engineer. We are seeking a Site Reliability Engineer to join our team. Required skills: natural language processing, amazon web services, sql, jenkins, mongodb. Nice to have: solidity, penetration testing, python. The ideal candidate will have hands-on experience with natural language processing, amazon web services, sql and a strong background in Computer Science / Engineering. Responsibilities include applying natural language processing, amazon web services, sql to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in natural language processing, amazon web services, sql."
big data engineer,BUSINESS,104,"sql, blockchain, java, javascript, natural language processing","Position: Big Data Engineer. We are seeking a Big Data Engineer to join our team. Required skills: sql, blockchain, java, javascript, natural language processing. Nice to have: node, pytorch, cybersecurity. The ideal candidate will have hands-on experience with sql, blockchain, java and a strong background in Services / Operations. Responsibilities include applying sql, blockchain, java to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in sql, blockchain, java."
business development manager,BUSINESS,103,"seo, budgeting, leadership, compliance, data analysis","Position: Business Development Manager. We are seeking a Business Development Manager to join our team. Required skills: seo, budgeting, leadership, compliance, data analysis. Nice to have: patient care, strategic planning, time management. The ideal candidate will have hands-on experience with seo, budgeting, leadership and a strong background in Services / Operations. Responsibilities include applying seo, budgeting, leadership to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in seo, budgeting, leadership."
data scientist,TECH,102,"microservices, mongodb, react, natural language processing, devops","Position: Data Scientist. We are seeking a Data Scientist to join our team. Required skills: microservices, mongodb, react, natural language processing, devops. Nice to have: tensorflow, javascript, network security. The ideal candidate will have hands-on experience with microservices, mongodb, react and a strong background in Computer Science / Engineering. Responsibilities include applying microservices, mongodb, react to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in microservices, mongodb, react."
social media manager,BUSINESS,98,"patient care, leadership, critical thinking, emotional intelligence, counseling","Position: Social Media Manager. We are seeking a Social Media Manager to join our team. Required skills: patient care, leadership, critical thinking, emotional intelligence, counseling. Nice to have: powerpoint, project management, communication. The ideal candidate will have hands-on experience with patient care, leadership, critical thinking and a strong background in Services / Operations. Responsibilities include applying patient care, leadership, critical thinking to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in patient care, leadership, critical thinking."
mobile applications developer,BUSINESS,97,"ci/cd, mongodb, microservices, azure, pytorch","Position: Mobile Applications Developer. We are seeking a Mobile Applications Developer to join our team. Required skills: ci/cd, mongodb, microservices, azure, pytorch. Nice to have: node, agile, docker. The ideal candidate will have hands-on experience with ci/cd, mongodb, microservices and a strong background in Services / Operations. Responsibilities include applying ci/cd, mongodb, microservices to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in ci/cd, mongodb, microservices."
marketing manager,BUSINESS,94,"powerpoint, presentation skills, compliance, adaptability, sales","Position: Marketing Manager. We are seeking a Marketing Manager to join our team. Required skills: powerpoint, presentation skills, compliance, adaptability, sales. Nice to have: communication, financial analysis, patient care. The ideal candidate will have hands-on experience with powerpoint, presentation skills, compliance and a strong background in Business / Management. Responsibilities include applying powerpoint, presentation skills, compliance to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in powerpoint, presentation skills, compliance."
operations manager,BUSINESS,94,"critical thinking, accounting, presentation skills, seo, financial analysis","Position: Operations Manager. We are seeking a Operations Manager to join our team. Required skills: critical thinking, accounting, presentation skills, seo, financial analysis. Nice to have: emotional intelligence, budgeting, strategic planning. The ideal candidate will have hands-on experience with critical thinking, accounting, presentation skills and a strong background in Business / Management. Responsibilities include applying critical thinking, accounting, presentation skills to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in critical thinking, accounting, presentation skills."
human resources manager,BUSINESS,94,"powerpoint, financial analysis, content writing, quality assurance, accounting","Position: Human Resources Manager. We are seeking a Human Resources Manager to join our team. Required skills: powerpoint, financial analysis, content writing, quality assurance, accounting. Nice to have: problem solving, project management, medical knowledge. The ideal candidate will have hands-on experience with powerpoint, financial analysis, content writing and a strong background in Services / Operations. Responsibilities include applying powerpoint, financial analysis, content writing to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in powerpoint, financial analysis, content writing."
financial analyst,BUSINESS,94,"accounting, critical thinking, compliance, patient care, healthcare","Position: Financial Analyst. We are seeking a Financial Analyst to join our team. Required skills: accounting, critical thinking, compliance, patient care, healthcare. Nice to have: quality assurance, counseling, excel. The ideal candidate will have hands-on experience with accounting, critical thinking, compliance and a strong background in Business / Management. Responsibilities include applying accounting, critical thinking, compliance to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in accounting, critical thinking, compliance."
mlops specialist,BUSINESS,93,"blockchain, linux, cloud computing, pytorch, git","Position: Mlops Specialist. We are seeking a Mlops Specialist to join our team. Required skills: blockchain, linux, cloud computing, pytorch, git. Nice to have: react, tensorflow, ci/cd. The ideal candidate will have hands-on experience with blockchain, linux, cloud computing and a strong background in Services / Operations. Responsibilities include applying blockchain, linux, cloud computing to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in blockchain, linux, cloud computing."
full-stack developer,BUSINESS,91,"ci/cd, linux, network security, docker, kubernetes","Position: Full-Stack Developer. We are seeking a Full-Stack Developer to join our team. Required skills: ci/cd, linux, network security, docker, kubernetes. Nice to have: amazon web services, python, statistics. The ideal candidate will have hands-on experience with ci/cd, linux, network security and a strong background in Services / Operations. Responsibilities include applying ci/cd, linux, network security to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in ci/cd, linux, network security."
digital marketing specialist,BUSINESS,91,"psychology, communication, patient care, critical thinking, financial analysis","Position: Digital Marketing Specialist. We are seeking a Digital Marketing Specialist to join our team. Required skills: psychology, communication, patient care, critical thinking, financial analysis. Nice to have: content writing, organizational skills, strategic planning. The ideal candidate will have hands-on experience with psychology, communication, patient care and a strong background in Services / Operations. Responsibilities include applying psychology, communication, patient care to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in psychology, communication, patient care."
market research analyst,BUSINESS,91,"content writing, budgeting, healthcare, team management, presentation skills","Position: Market Research Analyst. We are seeking a Market Research Analyst to join our team. Required skills: content writing, budgeting, healthcare, team management, presentation skills. Nice to have: adaptability, leadership, problem solving. The ideal candidate will have hands-on experience with content writing, budgeting, healthcare and a strong background in Services / Operations. Responsibilities include applying content writing, budgeting, healthcare to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in content writing, budgeting, healthcare."
ui/ux designer,BUSINESS,86,"terraform, graphql, blockchain, ansible, docker","Position: Ui/Ux Designer. We are seeking a Ui/Ux Designer to join our team. Required skills: terraform, graphql, blockchain, ansible, docker. Nice to have: natural language processing, python, computer vision. The ideal candidate will have hands-on experience with terraform, graphql, blockchain and a strong background in Services / Operations. Responsibilities include applying terraform, graphql, blockchain to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in terraform, graphql, blockchain."
ai ethics officer,BUSINESS,85,"sql, python, solidity, kafka, data analysis","Position: Ai Ethics Officer. We are seeking a Ai Ethics Officer to join our team. Required skills: sql, python, solidity, kafka, data analysis. Nice to have: devops, git, cybersecurity. The ideal candidate will have hands-on experience with sql, python, solidity and a strong background in Services / Operations. Responsibilities include applying sql, python, solidity to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in sql, python, solidity."
brand manager,BUSINESS,85,"healthcare, customer service, project management, medical knowledge, content writing","Position: Brand Manager. We are seeking a Brand Manager to join our team. Required skills: healthcare, customer service, project management, medical knowledge, content writing. Nice to have: team management, adaptability, organizational skills. The ideal candidate will have hands-on experience with healthcare, customer service, project management and a strong background in Services / Operations. Responsibilities include applying healthcare, customer service, project management to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in healthcare, customer service, project management."
ai engineer,TECH,84,"pytorch, statistics, microservices, data analysis, linux","Position: Ai Engineer. We are seeking a Ai Engineer to join our team. Required skills: pytorch, statistics, microservices, data analysis, linux. Nice to have: cloud computing, blockchain, devops. The ideal candidate will have hands-on experience with pytorch, statistics, microservices and a strong background in Computer Science / Engineering. Responsibilities include applying pytorch, statistics, microservices to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in pytorch, statistics, microservices."
director of operations,BUSINESS,81,"psychology, negotiation, social media marketing, customer service, counseling","Position: Director Of Operations. We are seeking a Director Of Operations to join our team. Required skills: psychology, negotiation, social media marketing, customer service, counseling. Nice to have: excel, time management, emotional intelligence. The ideal candidate will have hands-on experience with psychology, negotiation, social media marketing and a strong background in Services / Operations. Responsibilities include applying psychology, negotiation, social media marketing to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in psychology, negotiation, social media marketing."
customer success manager,SERVICES,79,"problem solving, compliance, sales, time management, communication","Position: Customer Success Manager. We are seeking a Customer Success Manager to join our team. Required skills: problem solving, compliance, sales, time management, communication. Nice to have: patient care, financial analysis, counseling. The ideal candidate will have hands-on experience with problem solving, compliance, sales and a strong background in Services / Operations. Responsibilities include applying problem solving, compliance, sales to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in problem solving, compliance, sales."
dentist,BUSINESS,79,"data analysis, negotiation, patient care, powerpoint, adaptability","Position: Dentist. We are seeking a Dentist to join our team. Required skills: data analysis, negotiation, patient care, powerpoint, adaptability. Nice to have: organizational skills, problem solving, compliance. The ideal candidate will have hands-on experience with data analysis, negotiation, patient care and a strong background in Services / Operations. Responsibilities include applying data analysis, negotiation, patient care to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in data analysis, negotiation, patient care."
restaurant specialist,BUSINESS,76,"seo, powerpoint, team management, customer service, content writing","Position: Restaurant Specialist. We are seeking a Restaurant Specialist to join our team. Required skills: seo, powerpoint, team management, customer service, content writing. Nice to have: psychology, communication, quality assurance. The ideal candidate will have hands-on experience with seo, powerpoint, team management and a strong background in Services / Operations. Responsibilities include applying seo, powerpoint, team management to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in seo, powerpoint, team management."
business analyst,BUSINESS,73,"excel, patient care, project management, communication, compliance","Position: Business Analyst. We are seeking a Business Analyst to join our team. Required skills: excel, patient care, project management, communication, compliance. Nice to have: time management, strategic planning, risk management. The ideal candidate will have hands-on experience with excel, patient care, project management and a strong background in Business / Management. Responsibilities include applying excel, patient care, project management to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in excel, patient care, project management."
content manager,BUSINESS,68,"adaptability, budgeting, marketing, time management, social media marketing","Position: Content Manager. We are seeking a Content Manager to join our team. Required skills: adaptability, budgeting, marketing, time management, social media marketing. Nice to have: sales, critical thinking, excel. The ideal candidate will have hands-on experience with adaptability, budgeting, marketing and a strong background in Services / Operations. Responsibilities include applying adaptability, budgeting, marketing to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in adaptability, budgeting, marketing."
sales representative,BUSINESS,67,"communication, team management, strategic planning, emotional intelligence, leadership","Position: Sales Representative. We are seeking a Sales Representative to join our team. Required skills: communication, team management, strategic planning, emotional intelligence, leadership. Nice to have: counseling, adaptability, excel. The ideal candidate will have hands-on experience with communication, team management, strategic planning and a strong background in Services / Operations. Responsibilities include applying communication, team management, strategic planning to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in communication, team management, strategic planning."
counselor,BUSINESS,66,"problem solving, medical knowledge, customer service, communication, negotiation","Position: Counselor. We are seeking a Counselor to join our team. Required skills: problem solving, medical knowledge, customer service, communication, negotiation. Nice to have: presentation skills, team management, budgeting. The ideal candidate will have hands-on experience with problem solving, medical knowledge, customer service and a strong background in Services / Operations. Responsibilities include applying problem solving, medical knowledge, customer service to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in problem solving, medical knowledge, customer service."
salesperson,BUSINESS,50,"adaptability, customer service, time management, marketing, patient care","Position: Salesperson. We are seeking a Salesperson to join our team. Required skills: adaptability, customer service, time management, marketing, patient care. Nice to have: compliance, financial analysis, project management. The ideal candidate will have hands-on experience with adaptability, customer service, time management and a strong background in Services / Operations. Responsibilities include applying adaptability, customer service, time management to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in adaptability, customer service, time management."
account manager,BUSINESS,48,"team management, powerpoint, psychology, quality assurance, project management","Position: Account Manager. We are seeking a Account Manager to join our team. Required skills: team management, powerpoint, psychology, quality assurance, project management. Nice to have: accounting, content writing, adaptability. The ideal candidate will have hands-on experience with team management, powerpoint, psychology and a strong background in Services / Operations. Responsibilities include applying team management, powerpoint, psychology to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in team management, powerpoint, psychology."
